end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701204835.0,13,33.8,33.8,-11.5,-1.0,-21.9,10.4,3459574,2357922,0.682,53088,437189
1701204915.0,13,36.4,36.4,-11.2,-0.9,-20.7,9.5,3907760,2717752,0.695,49483,430604
1701204985.0,13,38.6,38.6,-10.2,-1.2,-19.3,9.1,4339681,3080505,0.71,50546,442769
1701205065.0,13,49.6,49.6,-7.6,-1.0,-16.0,8.4,5459432,3980471,0.729,51867,388155
1701205135.0,13,32.8,32.8,-12.5,-0.9,-22.0,9.5,3806572,2591533,0.681,52446,382905
1701205215.0,13,44.5,44.5,-8.0,-1.0,-16.4,8.4,5336327,3880156,0.727,51145,398033
1701205285.0,13,25.4,25.4,-14.7,-1.2,-26.1,11.4,2629085,1685195,0.641,48826,364698
1701205365.0,13,28.0,28.0,-12.6,-1.9,-23.5,10.9,3223596,2137116,0.663,49508,442977
1701205445.0,13,43.4,43.4,-8.2,-0.9,-16.8,8.6,5543457,4050934,0.731,53681,438107
1701205515.0,13,48.0,48.0,-7.6,-0.8,-15.9,8.3,5818923,4264154,0.733,52907,430424
1701205595.0,13,29.7,29.7,-12.9,-1.2,-23.3,10.4,3509100,2368665,0.675,54633,438974
1701205665.0,13,-10,59.0,-4.1,-0.7,-10.5,6.4,5874460,4376002,0.745,44377,438162
1701205745.0,13,37.2,37.2,-10.6,-1.1,-20.4,9.8,4477602,3166491,0.707,58185,423415
1701205815.0,13,42.1,42.1,-8.9,-1.2,-18.2,9.3,5304341,3835930,0.723,57074,429422
1701205895.0,14,25.4,25.4,-16.8,-2.4,-27.6,10.8,2721202,1744671,0.641,48083,353699
1701205965.0,14,37.2,37.2,-10.9,-1.1,-20.4,9.5,4787455,3401144,0.71,57028,414632
1701206045.0,14,40.2,40.2,-10.2,-0.9,-19.2,9.0,5181442,3716604,0.717,57380,432265
1701206115.0,14,36.4,36.4,-12.2,-1.0,-21.6,9.4,4912019,3438003,0.7,58377,404507
1701206195.0,14,44.5,44.5,-8.4,-1.0,-17.2,8.8,5542368,4030356,0.727,59295,443654
1701206265.0,14,42.1,42.1,-8.8,-1.0,-18.3,9.5,5452419,3914110,0.718,57231,433373
1701206345.0,14,29.7,29.7,-12.3,-1.1,-23.4,11.1,3572614,2363359,0.662,57010,409394
1701206415.0,14,33.8,33.8,-10.9,-1.2,-21.4,10.5,4495823,3098101,0.689,60056,394350
1701206495.0,14,43.4,43.4,-8.5,-0.9,-17.3,8.8,5535472,4005520,0.724,57719,415043
1701206575.0,14,28.0,28.0,-13.5,-1.0,-23.7,10.2,3077435,2011266,0.654,55749,387602
1701206645.0,14,38.6,38.6,-9.8,-0.9,-19.1,9.3,4856286,3446095,0.71,58142,403344
1701206725.0,14,48.0,48.0,-8.0,-0.9,-16.8,8.8,5539225,4051424,0.731,55039,389773
1701206795.0,14,-10,59.0,-4.6,-0.7,-11.0,6.4,5684588,4206097,0.74,46808,434405
1701206875.0,14,49.6,49.6,-8.1,-0.9,-15.9,7.8,5897155,4325002,0.733,49683,420719
1701206945.0,14,43.9,43.9,-9.0,-0.8,-17.3,8.3,5628306,4109219,0.73,49919,426713
1701207025.0,14,32.8,32.8,-12.0,-1.2,-23.2,11.2,3938359,2686036,0.682,48557,417536
1701207095.0,15,42.1,42.1,-9.8,-0.9,-19.3,9.5,5315662,3846836,0.724,49141,433116
1701207175.0,15,36.4,36.4,-12.9,-1.0,-23.1,10.2,4241740,2954833,0.697,47697,418439
1701207245.0,15,37.2,37.2,-11.8,-1.0,-21.7,9.9,4716923,3333779,0.707,47603,402232
1701207325.0,15,43.9,43.9,-9.0,-1.1,-18.3,9.3,5554708,4049888,0.729,49203,439454
